Numero	url	cat1	cat2	cat3	cat4	cat5	cat6
1285	https://www.amazon.com/s?bbn=157375011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A158125011%2Cn%3A157364011%2Cn%3A157375011%2Cn%3A157387011&dc&qid=1689405671&rnid=157375011&ref=lp_157375011_nr_n_8	Education & Teaching Kindle	Teacher Resources	Education Theory	Finance		
1286	https://www.amazon.com/s?bbn=157375011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A158125011%2Cn%3A157364011%2Cn%3A157375011%2Cn%3A157388011&dc&qid=1689405671&rnid=157375011&ref=lp_157375011_nr_n_9	Education & Teaching Kindle	Teacher Resources	Education Theory	History		
1287	https://www.amazon.com/s?bbn=157375011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A158125011%2Cn%3A157364011%2Cn%3A157375011%2Cn%3A157389011&dc&qid=1689405671&rnid=157375011&ref=lp_157375011_nr_n_10	Education & Teaching Kindle	Teacher Resources	Education Theory	Leadership		
1288	https://www.amazon.com/s?bbn=157375011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A158125011%2Cn%3A157364011%2Cn%3A157375011%2Cn%3A157390011&dc&qid=1689405671&rnid=157375011&ref=lp_157375011_nr_n_11	Education & Teaching Kindle	Teacher Resources	Education Theory	Non-Formal Education		
1289	https://www.amazon.com/s?bbn=157375011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A158125011%2Cn%3A157364011%2Cn%3A157375011%2Cn%3A157391011&dc&qid=1689405671&rnid=157375011&ref=lp_157375011_nr_n_12	Education & Teaching Kindle	Teacher Resources	Education Theory	Organizations & Institutions		
1290	https://www.amazon.com/s?bbn=157375011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A158125011%2Cn%3A157364011%2Cn%3A157375011%2Cn%3A157392011&dc&qid=1689405671&rnid=157375011&ref=lp_157375011_nr_n_13	Education & Teaching Kindle	Teacher Resources	Education Theory	Philosophy & Social Aspects		
1291	https://www.amazon.com/s?bbn=157375011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A158125011%2Cn%3A157364011%2Cn%3A157375011%2Cn%3A157393011&dc&qid=1689405671&rnid=157375011&ref=lp_157375011_nr_n_14	Education & Teaching Kindle	Teacher Resources	Education Theory	Physical Education		
1292	https://www.amazon.com/s?bbn=157375011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A158125011%2Cn%3A157364011%2Cn%3A157375011%2Cn%3A157394011&dc&qid=1689405671&rnid=157375011&ref=lp_157375011_nr_n_15	Education & Teaching Kindle	Teacher Resources	Education Theory	Research		
1293	https://www.amazon.com/s?bbn=157375011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A158125011%2Cn%3A157364011%2Cn%3A157375011%2Cn%3A157395011&dc&qid=1689405671&rnid=157375011&ref=lp_157375011_nr_n_16	Education & Teaching Kindle	Teacher Resources	Education Theory	School Management		
1294	https://www.amazon.com/s?bbn=157375011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A158125011%2Cn%3A157364011%2Cn%3A157375011%2Cn%3A157396011&dc&qid=1689405671&rnid=157375011&ref=lp_157375011_nr_n_17	Education & Teaching Kindle	Teacher Resources	Education Theory	School Safety & Violence		
1295	https://www.amazon.com/s?bbn=157375011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A158125011%2Cn%3A157364011%2Cn%3A157375011%2Cn%3A157397011&dc&qid=1689405671&rnid=157375011&ref=lp_157375011_nr_n_18	Education & Teaching Kindle	Teacher Resources	Education Theory	Statistics		
1296	https://www.amazon.com/s?bbn=157364011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A158125011%2Cn%3A157364011%2Cn%3A157399011&dc&qid=1689405664&rnid=157364011&ref=lp_157364011_nr_n_4	Education & Teaching Kindle	Teacher Resources	Funding			
1297	https://www.amazon.com/s?bbn=157364011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A158125011%2Cn%3A157364011%2Cn%3A157401011&dc&qid=1689405664&rnid=157364011&ref=lp_157364011_nr_n_5	Education & Teaching Kindle	Teacher Resources	High School			
1298	https://www.amazon.com/s?bbn=157364011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A158125011%2Cn%3A157364011%2Cn%3A157402011&dc&qid=1689405664&rnid=157364011&ref=lp_157364011_nr_n_6	Education & Teaching Kindle	Teacher Resources	Homeschooling			
1299	https://www.amazon.com/s?bbn=157364011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A158125011%2Cn%3A157364011%2Cn%3A157403011&dc&qid=1689405664&rnid=157364011&ref=lp_157364011_nr_n_7	Education & Teaching Kindle	Teacher Resources	Parent Participation			
1300	https://www.amazon.com/s?bbn=157364011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A158125011%2Cn%3A157364011%2Cn%3A157404011&dc&qid=1689405664&rnid=157364011&ref=lp_157364011_nr_n_8	Education & Teaching Kindle	Teacher Resources	Pedagogy			
1301	https://www.amazon.com/s?bbn=157364011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A158125011%2Cn%3A157364011%2Cn%3A157405011&dc&qid=1689405664&rnid=157364011&ref=lp_157364011_nr_n_9	Education & Teaching Kindle	Teacher Resources	Policy			
1302	https://www.amazon.com/s?bbn=157364011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A158125011%2Cn%3A157364011%2Cn%3A157659011&dc&qid=1689405664&rnid=157364011&ref=lp_157364011_nr_n_10	Education & Teaching Kindle	Teacher Resources	Professional Development			
1303	https://www.amazon.com/s?bbn=157364011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A158125011%2Cn%3A157364011%2Cn%3A157407011&dc&qid=1689405664&rnid=157364011&ref=lp_157364011_nr_n_11	Education & Teaching Kindle	Teacher Resources	Reading			
1304	https://www.amazon.com/s?bbn=157364011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A158125011%2Cn%3A157364011%2Cn%3A157408011&dc&qid=1689405664&rnid=157364011&ref=lp_157364011_nr_n_12	Education & Teaching Kindle	Teacher Resources	Reference			
1305	https://www.amazon.com/s?bbn=157409011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A158125011%2Cn%3A157364011%2Cn%3A157409011%2Cn%3A157410011&dc&qid=1689405729&rnid=157409011&ref=lp_157409011_nr_n_0	Education & Teaching Kindle	Teacher Resources	Special Education	Behavioral, Emotional & Social Disabilities		
1306	https://www.amazon.com/s?bbn=157409011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A158125011%2Cn%3A157364011%2Cn%3A157409011%2Cn%3A157411011&dc&qid=1689405729&rnid=157409011&ref=lp_157409011_nr_n_1	Education & Teaching Kindle	Teacher Resources	Special Education	Communicative Disorders		
1307	https://www.amazon.com/s?bbn=157409011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A158125011%2Cn%3A157364011%2Cn%3A157409011%2Cn%3A157414011&dc&qid=1689405729&rnid=157409011&ref=lp_157409011_nr_n_2	Education & Teaching Kindle	Teacher Resources	Special Education	Developmental & Intellectual Disabilities		
1308	https://www.amazon.com/s?bbn=157409011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A158125011%2Cn%3A157364011%2Cn%3A157409011%2Cn%3A157413011&dc&qid=1689405729&rnid=157409011&ref=lp_157409011_nr_n_3	Education & Teaching Kindle	Teacher Resources	Special Education	Learning Disabilities		
1309	https://www.amazon.com/s?bbn=157409011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A158125011%2Cn%3A157364011%2Cn%3A157409011%2Cn%3A157415011&dc&qid=1689405729&rnid=157409011&ref=lp_157409011_nr_n_4	Education & Teaching Kindle	Teacher Resources	Special Education	Physical Disabilities		
1310	https://www.amazon.com/s?bbn=157364011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A158125011%2Cn%3A157364011%2Cn%3A157369011&dc&qid=1689405664&rnid=157364011&ref=lp_157364011_nr_n_14	Education & Teaching Kindle	Teacher Resources	Student Life			
1311	https://www.amazon.com/s?bbn=157364011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A158125011%2Cn%3A157364011%2Cn%3A11650861011&dc&qid=1689405664&rnid=157364011&ref=lp_157364011_nr_n_15	Education & Teaching Kindle	Teacher Resources	Teacher & Student Mentoring			
1312	https://www.amazon.com/s?bbn=158159011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A158125011%2Cn%3A158240011%2Cn%3A158159011%2Cn%3A158160011&dc&qid=1689405751&rnid=158159011&ref=lp_158159011_nr_n_0	Education & Teaching Kindle	Test Preparation	Careers	Armed Forces		
1313	https://www.amazon.com/s?bbn=158159011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A158125011%2Cn%3A158240011%2Cn%3A158159011%2Cn%3A158161011&dc&qid=1689405751&rnid=158159011&ref=lp_158159011_nr_n_1	Education & Teaching Kindle	Test Preparation	Careers	Civil Service		
1314	https://www.amazon.com/s?bbn=158159011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A158125011%2Cn%3A158240011%2Cn%3A158159011%2Cn%3A158162011&dc&qid=1689405751&rnid=158159011&ref=lp_158159011_nr_n_2	Education & Teaching Kindle	Test Preparation	Careers	CPA		
1315	https://www.amazon.com/s?bbn=158159011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A158125011%2Cn%3A158240011%2Cn%3A158159011%2Cn%3A17744536011&dc&qid=1689405751&rnid=158159011&ref=lp_158159011_nr_n_3	Education & Teaching Kindle	Test Preparation	Careers	NCLEX		
1316	https://www.amazon.com/s?bbn=158159011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A158125011%2Cn%3A158240011%2Cn%3A158159011%2Cn%3A158163011&dc&qid=1689405751&rnid=158159011&ref=lp_158159011_nr_n_4	Education & Teaching Kindle	Test Preparation	Careers	NTE		
1317	https://www.amazon.com/s?bbn=158159011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A158125011%2Cn%3A158240011%2Cn%3A158159011%2Cn%3A17744535011&dc&qid=1689405751&rnid=158159011&ref=lp_158159011_nr_n_5	Education & Teaching Kindle	Test Preparation	Careers	USMLE (United States Medical Licensure Examination)		
1318	https://www.amazon.com/s?bbn=158159011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A158125011%2Cn%3A158240011%2Cn%3A158159011%2Cn%3A158164011&dc&qid=1689405751&rnid=158159011&ref=lp_158159011_nr_n_6	Education & Teaching Kindle	Test Preparation	Careers	Vocational Tests		
1319	https://www.amazon.com/s?bbn=158240011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A158125011%2Cn%3A158240011%2Cn%3A158149011&dc&qid=1689405749&rnid=158240011&ref=lp_158240011_nr_n_1	Education & Teaching Kindle	Test Preparation	Citizenship			
1320	https://www.amazon.com/s?bbn=158165011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A158125011%2Cn%3A158240011%2Cn%3A158165011%2Cn%3A158166011&dc&qid=1689405769&rnid=158165011&ref=lp_158165011_nr_n_0	Education & Teaching Kindle	Test Preparation	College & University	ACT (American College Tests)		
1321	https://www.amazon.com/s?bbn=158165011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A158125011%2Cn%3A158240011%2Cn%3A158165011%2Cn%3A158167011&dc&qid=1689405769&rnid=158165011&ref=lp_158165011_nr_n_1	Education & Teaching Kindle	Test Preparation	College & University	Advanced Placement		
1322	https://www.amazon.com/s?bbn=158165011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A158125011%2Cn%3A158240011%2Cn%3A158165011%2Cn%3A158168011&dc&qid=1689405769&rnid=158165011&ref=lp_158165011_nr_n_2	Education & Teaching Kindle	Test Preparation	College & University	CLEP		
1323	https://www.amazon.com/s?bbn=158165011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A158125011%2Cn%3A158240011%2Cn%3A158165011%2Cn%3A158169011&dc&qid=1689405769&rnid=158165011&ref=lp_158165011_nr_n_3	Education & Teaching Kindle	Test Preparation	College & University	College Entrance		
1324	https://www.amazon.com/s?bbn=158165011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A158125011%2Cn%3A158240011%2Cn%3A158165011%2Cn%3A158170011&dc&qid=1689405769&rnid=158165011&ref=lp_158165011_nr_n_4	Education & Teaching Kindle	Test Preparation	College & University	SAT & PSAT		
1325	https://www.amazon.com/s?bbn=158171011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A158125011%2Cn%3A158240011%2Cn%3A158171011%2Cn%3A158172011&dc&qid=1689405781&rnid=158171011&ref=lp_158171011_nr_n_0	Education & Teaching Kindle	Test Preparation	Graduate & Professional	GMAT		
1326	https://www.amazon.com/s?bbn=158171011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A158125011%2Cn%3A158240011%2Cn%3A158171011%2Cn%3A158173011&dc&qid=1689405781&rnid=158171011&ref=lp_158171011_nr_n_1	Education & Teaching Kindle	Test Preparation	Graduate & Professional	Graduate Preparation		
1327	https://www.amazon.com/s?bbn=158171011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A158125011%2Cn%3A158240011%2Cn%3A158171011%2Cn%3A158174011&dc&qid=1689405781&rnid=158171011&ref=lp_158171011_nr_n_2	Education & Teaching Kindle	Test Preparation	Graduate & Professional	GRE		
1328	https://www.amazon.com/s?bbn=158171011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A158125011%2Cn%3A158240011%2Cn%3A158171011%2Cn%3A158175011&dc&qid=1689405781&rnid=158171011&ref=lp_158171011_nr_n_3	Education & Teaching Kindle	Test Preparation	Graduate & Professional	LSAT		
1329	https://www.amazon.com/s?bbn=158171011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A158125011%2Cn%3A158240011%2Cn%3A158171011%2Cn%3A158176011&dc&qid=1689405781&rnid=158171011&ref=lp_158171011_nr_n_4	Education & Teaching Kindle	Test Preparation	Graduate & Professional	MAT		
1330	https://www.amazon.com/s?bbn=158171011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A158125011%2Cn%3A158240011%2Cn%3A158171011%2Cn%3A158177011&dc&qid=1689405781&rnid=158171011&ref=lp_158171011_nr_n_5	Education & Teaching Kindle	Test Preparation	Graduate & Professional	MCAT		
1331	https://www.amazon.com/s?bbn=158171011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A158125011%2Cn%3A158240011%2Cn%3A158171011%2Cn%3A158178011&dc&qid=1689405781&rnid=158171011&ref=lp_158171011_nr_n_6	Education & Teaching Kindle	Test Preparation	Graduate & Professional	Professional		
1332	https://www.amazon.com/s?bbn=158171011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A158125011%2Cn%3A158240011%2Cn%3A158171011%2Cn%3A158179011&dc&qid=1689405781&rnid=158171011&ref=lp_158171011_nr_n_7	Education & Teaching Kindle	Test Preparation	Graduate & Professional	Teaching		
1333	https://www.amazon.com/s?bbn=158180011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A158125011%2Cn%3A158240011%2Cn%3A158180011%2Cn%3A158181011&dc&qid=1689405797&rnid=158180011&ref=lp_158180011_nr_n_0	Education & Teaching Kindle	Test Preparation	High School	GED		
1334	https://www.amazon.com/s?bbn=158180011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A158125011%2Cn%3A158240011%2Cn%3A158180011%2Cn%3A158182011&dc&qid=1689405797&rnid=158180011&ref=lp_158180011_nr_n_1	Education & Teaching Kindle	Test Preparation	High School	Prep School		
1335	https://www.amazon.com/s?bbn=158180011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A158125011%2Cn%3A158240011%2Cn%3A158180011%2Cn%3A158183011&dc&qid=1689405797&rnid=158180011&ref=lp_158180011_nr_n_2	Education & Teaching Kindle	Test Preparation	High School	Regents		
1336	https://www.amazon.com/s?bbn=158180011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A158125011%2Cn%3A158240011%2Cn%3A158180011%2Cn%3A158184011&dc&qid=1689405797&rnid=158180011&ref=lp_158180011_nr_n_3	Education & Teaching Kindle	Test Preparation	High School	SSAT, COOP		
1337	https://www.amazon.com/s?bbn=158240011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A158125011%2Cn%3A158240011%2Cn%3A17744518011&dc&qid=1689405749&rnid=158240011&ref=lp_158240011_nr_n_5	Education & Teaching Kindle	Test Preparation	Study & Test-Taking Skills			
1338	https://www.amazon.com/s?bbn=158240011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A158125011%2Cn%3A158240011%2Cn%3A158185011&dc&qid=1689405749&rnid=158240011&ref=lp_158240011_nr_n_6	Education & Teaching Kindle	Test Preparation	Testing			
1339	https://www.amazon.com/s?bbn=158240011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A158125011%2Cn%3A158240011%2Cn%3A158186011&dc&qid=1689405749&rnid=158240011&ref=lp_158240011_nr_n_7	Education & Teaching Kindle	Test Preparation	TOEFL & TOEIC			
1340	https://www.amazon.com/s?bbn=157326011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A157626011%2Cn%3A157326011%2Cn%3A157327011&dc&qid=1689405815&rnid=157326011&ref=lp_157326011_nr_n_0	Engineering & Transportation Kindle	Automotive	Classic Cars			
1341	https://www.amazon.com/s?bbn=157326011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A157626011%2Cn%3A157326011%2Cn%3A157328011&dc&qid=1689405815&rnid=157326011&ref=lp_157326011_nr_n_1	Engineering & Transportation Kindle	Automotive	Customize			
1342	https://www.amazon.com/s?bbn=157326011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A157626011%2Cn%3A157326011%2Cn%3A157329011&dc&qid=1689405815&rnid=157326011&ref=lp_157326011_nr_n_2	Engineering & Transportation Kindle	Automotive	Driver's Education			
1343	https://www.amazon.com/s?bbn=157326011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A157626011%2Cn%3A157326011%2Cn%3A157332011&dc&qid=1689405815&rnid=157326011&ref=lp_157326011_nr_n_3	Engineering & Transportation Kindle	Automotive	History			
1344	https://www.amazon.com/s?bbn=157326011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A157626011%2Cn%3A157326011%2Cn%3A157334011&dc&qid=1689405815&rnid=157326011&ref=lp_157326011_nr_n_4	Engineering & Transportation Kindle	Automotive	Insurance			
1345	https://www.amazon.com/s?bbn=157335011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A157626011%2Cn%3A157326011%2Cn%3A157335011%2Cn%3A157337011&dc&qid=1689405826&rnid=157335011&ref=lp_157335011_nr_n_0	Engineering & Transportation Kindle	Automotive	Motorcycles	History		
1346	https://www.amazon.com/s?bbn=157335011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A157626011%2Cn%3A157326011%2Cn%3A157335011%2Cn%3A157338011&dc&qid=1689405826&rnid=157335011&ref=lp_157335011_nr_n_1	Engineering & Transportation Kindle	Automotive	Motorcycles	Pictorial		
1347	https://www.amazon.com/s?bbn=157335011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A157626011%2Cn%3A157326011%2Cn%3A157335011%2Cn%3A157339011&dc&qid=1689405826&rnid=157335011&ref=lp_157335011_nr_n_2	Engineering & Transportation Kindle	Automotive	Motorcycles	Repair & Performance		
1348	https://www.amazon.com/s?bbn=157326011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A157626011%2Cn%3A157326011%2Cn%3A157340011&dc&qid=1689405815&rnid=157326011&ref=lp_157326011_nr_n_6	Engineering & Transportation Kindle	Automotive	Pictorial			
1349	https://www.amazon.com/s?bbn=157326011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A157626011%2Cn%3A157326011%2Cn%3A157341011&dc&qid=1689405815&rnid=157326011&ref=lp_157326011_nr_n_7	Engineering & Transportation Kindle	Automotive	Repair			
1350	https://www.amazon.com/s?bbn=157326011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A157626011%2Cn%3A157326011%2Cn%3A157342011&dc&qid=1689405815&rnid=157326011&ref=lp_157326011_nr_n_8	Engineering & Transportation Kindle	Automotive	Trucks & Vans			
1351	https://www.amazon.com/s?bbn=157626011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A157626011%2Cn%3A157666011&dc&qid=1689405813&rnid=157626011&ref=lp_157626011_nr_n_1	Engineering & Transportation Kindle	Engineering				
1352	https://www.amazon.com/s?bbn=157626011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A157626011%2Cn%3A157535011&dc&qid=1689405813&rnid=157626011&ref=lp_157626011_nr_n_2	Engineering & Transportation Kindle	Transportation				
1353	https://www.amazon.com/s?bbn=7735160011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A7735160011%2Cn%3A7735197011&dc&qid=1689405839&rnid=7735160011&ref=lp_7735160011_nr_n_0	Foreign Language Kindle	Arabic				
1354	https://www.amazon.com/s?bbn=7735167011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A7735160011%2Cn%3A7735167011%2Cn%3A8407615011&dc&qid=1689405842&rnid=7735167011&ref=lp_7735167011_nr_n_0	Foreign Language Kindle	Chinese (Simplified)	Action & Adventure			
1355	https://www.amazon.com/s?bbn=7735167011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A7735160011%2Cn%3A7735167011%2Cn%3A8407616011&dc&qid=1689405842&rnid=7735167011&ref=lp_7735167011_nr_n_1	Foreign Language Kindle	Chinese (Simplified)	Arts, Film & Photography			
1356	https://www.amazon.com/s?bbn=7735167011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A7735160011%2Cn%3A7735167011%2Cn%3A8407617011&dc&qid=1689405842&rnid=7735167011&ref=lp_7735167011_nr_n_2	Foreign Language Kindle	Chinese (Simplified)	Biographies, Diaries & True Accounts			
1357	https://www.amazon.com/s?bbn=7735167011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A7735160011%2Cn%3A7735167011%2Cn%3A8407618011&dc&qid=1689405842&rnid=7735167011&ref=lp_7735167011_nr_n_3	Foreign Language Kindle	Chinese (Simplified)	Business & Economics			
1358	https://www.amazon.com/s?bbn=7735167011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A7735160011%2Cn%3A7735167011%2Cn%3A8407619011&dc&qid=1689405842&rnid=7735167011&ref=lp_7735167011_nr_n_4	Foreign Language Kindle	Chinese (Simplified)	Children's eBooks			
1359	https://www.amazon.com/s?bbn=7735167011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A7735160011%2Cn%3A7735167011%2Cn%3A8407620011&dc&qid=1689405842&rnid=7735167011&ref=lp_7735167011_nr_n_5	Foreign Language Kindle	Chinese (Simplified)	Comics & Manga			
1360	https://www.amazon.com/s?bbn=7735167011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A7735160011%2Cn%3A7735167011%2Cn%3A8407621011&dc&qid=1689405842&rnid=7735167011&ref=lp_7735167011_nr_n_6	Foreign Language Kindle	Chinese (Simplified)	Computing, Internet & Digital Media			
1361	https://www.amazon.com/s?bbn=7735167011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A7735160011%2Cn%3A7735167011%2Cn%3A14613299011&dc&qid=1689405842&rnid=7735167011&ref=lp_7735167011_nr_n_7	Foreign Language Kindle	Chinese (Simplified)	Cookbooks, Food & Beverages			
1362	https://www.amazon.com/s?bbn=7735167011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A7735160011%2Cn%3A7735167011%2Cn%3A8407622011&dc&qid=1689405842&rnid=7735167011&ref=lp_7735167011_nr_n_8	Foreign Language Kindle	Chinese (Simplified)	Crafts, Home & Lifestyle			
1363	https://www.amazon.com/s?bbn=7735167011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A7735160011%2Cn%3A7735167011%2Cn%3A8407623011&dc&qid=1689405842&rnid=7735167011&ref=lp_7735167011_nr_n_9	Foreign Language Kindle	Chinese (Simplified)	Crime, Thriller & Mystery			
1364	https://www.amazon.com/s?bbn=7735167011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A7735160011%2Cn%3A7735167011%2Cn%3A8407625011&dc&qid=1689405842&rnid=7735167011&ref=lp_7735167011_nr_n_10	Foreign Language Kindle	Chinese (Simplified)	Fantasy, Horror & Science Fiction			
1365	https://www.amazon.com/s?bbn=7735167011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A7735160011%2Cn%3A7735167011%2Cn%3A8407627011&dc&qid=1689405842&rnid=7735167011&ref=lp_7735167011_nr_n_11	Foreign Language Kindle	Chinese (Simplified)	Health & Family			
1366	https://www.amazon.com/s?bbn=7735167011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A7735160011%2Cn%3A7735167011%2Cn%3A8407628011&dc&qid=1689405842&rnid=7735167011&ref=lp_7735167011_nr_n_12	Foreign Language Kindle	Chinese (Simplified)	Historical Fiction			
1367	https://www.amazon.com/s?bbn=7735167011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A7735160011%2Cn%3A7735167011%2Cn%3A8407629011&dc&qid=1689405842&rnid=7735167011&ref=lp_7735167011_nr_n_13	Foreign Language Kindle	Chinese (Simplified)	History			
1368	https://www.amazon.com/s?bbn=7735167011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A7735160011%2Cn%3A7735167011%2Cn%3A8407630011&dc&qid=1689405842&rnid=7735167011&ref=lp_7735167011_nr_n_14	Foreign Language Kindle	Chinese (Simplified)	Humor			
1369	https://www.amazon.com/s?bbn=7735167011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A7735160011%2Cn%3A7735167011%2Cn%3A8407631011&dc&qid=1689405842&rnid=7735167011&ref=lp_7735167011_nr_n_15	Foreign Language Kindle	Chinese (Simplified)	Language, Linguistics & Writing			
1370	https://www.amazon.com/s?bbn=7735167011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A7735160011%2Cn%3A7735167011%2Cn%3A8407632011&dc&qid=1689405842&rnid=7735167011&ref=lp_7735167011_nr_n_16	Foreign Language Kindle	Chinese (Simplified)	Law			
1371	https://www.amazon.com/s?bbn=7735167011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A7735160011%2Cn%3A7735167011%2Cn%3A8407633011&dc&qid=1689405842&rnid=7735167011&ref=lp_7735167011_nr_n_17	Foreign Language Kindle	Chinese (Simplified)	Literature & Fiction			
1372	https://www.amazon.com/s?bbn=7735167011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A7735160011%2Cn%3A7735167011%2Cn%3A8407634011&dc&qid=1689405842&rnid=7735167011&ref=lp_7735167011_nr_n_18	Foreign Language Kindle	Chinese (Simplified)	Medicine			
1373	https://www.amazon.com/s?bbn=7735167011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A7735160011%2Cn%3A7735167011%2Cn%3A8407635011&dc&qid=1689405842&rnid=7735167011&ref=lp_7735167011_nr_n_19	Foreign Language Kindle	Chinese (Simplified)	Personal Development & Self-Help			
1374	https://www.amazon.com/s?bbn=7735167011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A7735160011%2Cn%3A7735167011%2Cn%3A8407636011&dc&qid=1689405842&rnid=7735167011&ref=lp_7735167011_nr_n_20	Foreign Language Kindle	Chinese (Simplified)	Politics			
1375	https://www.amazon.com/s?bbn=7735167011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A7735160011%2Cn%3A7735167011%2Cn%3A8407637011&dc&qid=1689405842&rnid=7735167011&ref=lp_7735167011_nr_n_21	Foreign Language Kindle	Chinese (Simplified)	Reference			
1376	https://www.amazon.com/s?bbn=7735167011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A7735160011%2Cn%3A7735167011%2Cn%3A8407638011&dc&qid=1689405842&rnid=7735167011&ref=lp_7735167011_nr_n_22	Foreign Language Kindle	Chinese (Simplified)	Religion			
